"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Großglockner"	3798.0	47.0745464	12.6938826	osm	2378	1380	25.0
"Gerlachovský štít"	2655.0	49.1640319	20.1340595	osm	2338	298	25.0
"Wildspitze"	3768.0	46.8852429	10.867279	osm	2230	1520	25.0
"Hochkönig"	2941.0	47.4203341	13.0624483	osm	2159	770	25.0
"Hoher Dachstein"	2995.0	47.4751892	13.6056695	osm	2098	860	25.0
"Triglav"	2864.0	46.3782982	13.8365822	osm	2020	815	25.0
"Zugspitze"	2962.0	47.421215	10.986297	osm	1727	1210	25.0
"Großer Priel"	2515.0	47.7169424	14.0632524	osm	1690	809	25.0
"Grintovec"	2558.0	46.3571314	14.5354023	osm	1682	855	25.0
"Birnhorn"	2634.0	47.4750415	12.7338343	osm	1630	970	15.46
"Polinik"	2784.0	46.8949925	13.1582862	osm	1549	1206	10.39
"Mittlere Ödkarspitze"	2746.0	47.4124705	11.4244227	osm	1542	1181	25.0
"Ellmauer Halt"	2342.0	47.5616377	12.3025296	osm	1529	787	23.04
"Hochtor"	2369.0	47.5618474	14.6326058	osm	1499	850	20.67
"Grimming"	2351.0	47.5206879	14.0171132	osm	1486	840	16.55
"Zirbitzkogel"	2396.0	47.0636156	14.5672214	osm	1477	899	25.0
"Raucheck"	2430.0	47.4991266	13.2263815	osm	1435	980	10.9
"Kanin / Canin / La Mont Cjanìne"	2587.0	46.3601863	13.4390201	osm	1384	1178	8.25
"Matajur"	1645.0	46.2121701	13.5294695	osm	1371	255	9.13
"Reißkofel"	2371.0	46.6857634	13.1467038	osm	1359	985	11.81
"Mirnock"	2110.0	46.7590882	13.7150604	osm	1337	764	8.71
"Klosterwappen"	2076.0	47.7670618	15.8044994	osm	1332	726	25.0
"Hochiss"	2299.0	47.4584505	11.7648128	osm	1319	940	12.4
"Hoher Riffler (Nord)"	3167.0	47.116175	10.371261	osm	1306	1836	23.63
"Großer Höllkogel"	1862.0	47.7976948	13.6782	osm	1289	566	11.78
"Großes Ochsenhorn"	2513.0	47.5380693	12.6604719	osm	1278	1207	8.83
"Latschur"	2236.0	46.7385298	13.3960095	osm	1260	959	11.12
"Großer Pyhrgas"	2244.0	47.6526569	14.3975248	osm	1256	973	11.24
"Tschirgant"	2372.0	47.2416948	10.7963916	osm	1232	1106	7.22
"Ameringkogel"	2187.0	47.0727962	14.807748	osm	1211	957	16.94
"Dobratsch"	2166.0	46.6036645	13.6703863	osm	1210	934	15.97
"Daniel"	2340.0	47.4326486	10.8802309	osm	1207	1110	6.74
"Parseierspitze"	3036.0	47.1742699	10.478229	osm	1205	1801	10.12
"Große Sandspitze"	2772.0	46.76672	12.8115896	osm	1204	1536	14.74
"Olperer"	3476.0	47.0533106	11.658719	osm	1196	2250	10.37
"Großvenediger"	3657.0	47.1092664	12.3453356	osm	1178	2468	25.0
"Śnieżka / Sněžka"	1603.3	50.7360326	15.7396072	osm	1178	416	25.0
"Schafberg"	1783.0	47.7765811	13.4334854	osm	1164	615	12.83
"Ďumbier"	2046.0	48.9363995	19.6402664	osm	1157	867	25.0
"Hochreichart"	2416.0	47.3635474	14.6819623	osm	1153	1248	22.6
"Sonntagshorn"	1961.0	47.6822111	12.6958024	osm	1145	782	8.74
"Monte Cogliàns / Hohe Warte / Il Coliàns"	2781.0	46.6073243	12.8832003	osm	1112	1636	25.0
"Guffertspitze"	2194.0	47.5462308	11.7886399	osm	1103	1052	9.47
"Großes Häuselhorn"	2284.0	47.601803	12.7839412	osm	1097	1162	6.31
"Hochgolling"	2862.0	47.266271	13.760642	osm	1095	1738	24.03
"Hoher Sarstein"	1975.0	47.6025985	13.6990839	osm	1070	895	8.16
"Geißstein"	2363.0	47.3374452	12.4952799	osm	1066	1279	11.29
"Babia Góra / Babia hora"	1724.0	49.5730231	19.5293303	osm	1063	652	25.0
"Kellenspitze"	2238.0	47.4989941	10.6300956	osm	1061	1153	9.15
"Hochkogel"	1774.0	47.7294188	14.7773962	osm	1054	686	9.16
"Hochobir / Ojstrc"	2139.0	46.5061632	14.4872224	osm	1051	1065	15.76
"Hochstadl"	1919.0	47.685609	15.0746826	osm	1046	852	4.57
"Gamsfeld"	2027.0	47.6233204	13.4806591	osm	1042	966	11.03
"Wöllaner Nock"	2145.0	46.7767274	13.8285393	osm	1030	1108	7.42
"Mangart"	2679.0	46.4394708	13.6546659	osm	1030	1626	12.73
"Hochschwab"	2277.0	47.6182422	15.1424508	osm	1024	1238	25.0
"Kreuzjoch"	2558.0	47.2514939	11.9826003	osm	1021	1516	8.83
"Großer Arber"	1456.0	49.1124718	13.13619	osm	1016	429	25.0
"Spitzegel"	2119.0	46.6551236	13.4102535	osm	1014	1077	8.56
"Zuckerhütl"	3508.0	46.9643116	11.1537965	osm	1002	2476	19.52
"Hohe Salve"	1829.0	47.4650179	12.2041746	osm	999	821	6.17
"Unterberghorn"	1773.0	47.6205851	12.4364594	osm	995	761	8.21
"Hochstuhl / Stol"	2237.0	46.433999	14.1739772	osm	988	1215	21.98
"Hoher Nock"	1963.0	47.782791	14.3230544	osm	987	973	14.06
"Knittelkarspitze"	2376.0	47.375872	10.651023	osm	987	1370	5.51
"Praděd"	1491.0	50.0832353	17.2308693	osm	987	509	25.0
"Heukuppe"	2007.0	47.6889865	15.6894731	osm	978	1021	12.03
"Große Arnspitze"	2196.0	47.3973362	11.2223256	osm	976	1198	3.84
"Hohes Licht"	2651.0	47.2801709	10.2760287	osm	970	1659	10.13
"Hochfeiler - Gran Pilastro"	3509.0	46.9724019	11.7275895	osm	970	2512	25.0
"Großer Speikkogel"	2140.0	46.7869197	14.9719475	osm	960	1173	25.0
"Thaneller"	2341.0	47.4265069	10.7242251	osm	959	1352	6.19
"Glanderspitze"	2512.0	47.1485594	10.6616265	osm	957	1541	6.15
"Polinik"	2332.0	46.6275692	12.9821385	osm	953	1364	4.82
"Leonsberg"	1745.0	47.7545616	13.5687769	osm	946	773	7.92
"Freiberg / Setiče"	1923.0	46.4888346	14.4093458	osm	945	951	4.32
"Untere Wildgrubenspitze"	2753.0	47.1649798	10.1264411	osm	945	1779	6.41
